code,name,manufacturer,tier,group,slug
1109,"Паллас 45OD","Кортева",original,"Гербіцид",pallas-45od-korteva
1110,"Прима","Кортева",original,"Гербіцид",pryma-korteva
1111,"Прима Форте","Кортева",original,"Гербіцид",pryma-forte-korteva
1112,"Пріма Інтенс","Кортева",original,"Гербіцид",prima-intens-korteva
1113,"Слаш","Кортева",original,"Гербіцид",slash-korteva
1114,"Старане Премiум","Кортева",original,"Гербіцид",starane-premium-korteva
1115,"Тiтус","Кортева",original,"Гербіцид",titus-korteva
1116,"Тiтус Екстра","Кортева",original,"Гербіцид",titus-ekstra-korteva
1117,"Аргумент, РК","Нертус",econom,"Гербіцид",arhument-rk-nertus
1118,"Герб 900, КЕ","Нертус",econom,"Гербіцид",herb-900-ke-nertus
1119,"Каре, ЗП","Нертус",econom,"Гербіцид",kare-zp-nertus
1120,"Майтус, РГ","Нертус",econom,"Гербіцид",maitus-rh-nertus
1121,"Мілафурон, КС","Нертус",econom,"Гербіцид",milafuron-ks-nertus
1122,"Мілафурон, КС КИТАЙ","Нертус",econom,"Гербіцид",milafuron-ks-kytai-nertus
1123,"Преміум Голд, КС","Нертус",econom,"Гербіцид",premium-hold-ks-nertus
1124,"Сентинел КЕ","Нертус",econom,"Гербіцид",sentynel-ke-nertus
1125,"Терц, РК","Нертус",econom,"Гербіцид",terts-rk-nertus
1126,"Фоліо, КЕ","Нертус",econom,"Гербіцид",folio-ke-nertus
1127,"АВАТАР","Нопосон",econom,"Гербіцид",avatar-noposon
1128,"БЕЛЕНУС","Нопосон",econom,"Гербіцид",belenus-noposon
1129,"ГЕФЕСТ","Нопосон",econom,"Гербіцид",hefest-noposon
1130,"ГЕФЕСТ ПРО","Нопосон",econom,"Гербіцид",hefest-pro-noposon
1131,"ЗАГРЕЙ","Нопосон",econom,"Гербіцид",zahrei-noposon
1132,"САТІС","Нопосон",econom,"Гербіцид",satis-noposon
1133,"ТІТОН","Нопосон",econom,"Гербіцид",titon-noposon
1134,"ТІТОН ДУО","Нопосон",econom,"Гербіцид",titon-duo-noposon
