Код,Дія,Лист,Виробник,Назва (прайс),Фасовка,Діюча речовина,Норма,Категорія slug,Категорія UA,Ціна з ПДВ,Без ПДВ,Готівка ×1.10,Валюта,Slug (наш),Назва (наша),Фасовка (наша),Tier,№ рядка
1268,existing,"Укравіт","Укравіт","Лаплас, ВГ Новинка","0.25 л","Трибенурон-метил, 375г/кг + флорасулам, 140г/кг + флуметсулам, 125г/кг","",herbitsydy,"Гербіцид",112.7,93.92,103.31,USD,"laplas-vh-novynka-ukravit","Лаплас, ВГ Новинка","0.25 л",premium,35
1269,existing,"Укравіт","Укравіт","Макстар, РК","5 л","флуроксипір-метил, 250г/л","",herbitsydy,"Гербіцид",19.55,16.29,17.92,USD,"makstar-rk-ukravit","Макстар, РК","5 л",premium,36
1270,existing,"Укравіт","Укравіт","Мастак, РК","5 л","Клопіралід, 300 г/л","",herbitsydy,"Гербіцид",21.85,18.21,20.03,USD,"mastak-rk-ukravit","Мастак, РК","5 л",premium,37
1271,existing,"Укравіт","Укравіт","Міладар Дуо, КС","20 л","Мезотріон, 100 г/л + нікосульфурон, 45 г/л","",herbitsydy,"Гербіцид",17.83,14.85,16.34,USD,"miladar-duo-ks-ukravit","Міладар Дуо, КС","20 л",premium,41
1272,existing,"Укравіт","Укравіт","Міладар, КС","20 л","Нікосульфурон, 45 г/л","",herbitsydy,"Гербіцид",7.13,5.94,6.53,USD,"miladar-ks-ukravit","Міладар, КС","20 л",premium,39
1273,existing,"Укравіт","Укравіт","Молвіт, КЕ","5 л","Трінексапак-етил, 250 г/л","",herbitsydy,"Гербіцид",33.35,27.79,30.57,USD,"molvit-ke-ukravit","Молвіт, КЕ","5 л",premium,142
1274,existing,"Укравіт","Укравіт","Нарапс, РК","5 л","Клопіралід, 267 г/л + піклорам, 67 г/л","",herbitsydy,"Гербіцид",26.45,22.04,24.24,USD,"naraps-rk-ukravit","Нарапс, РК","5 л",premium,42
1275,existing,"Укравіт","Укравіт","Панда, КЕ","20 л","Пендиметалін, 330 г/л","",herbitsydy,"Гербіцид",11.5,9.58,10.54,USD,"panda-ke-ukravit","Панда, КЕ","20 л",premium,43
1276,existing,"Укравіт","Укравіт","Пікадор, РК","20 л","Імазетапір, 100 г/л","",herbitsydy,"Гербіцид",9.2,7.67,8.44,USD,"pikador-rk-ukravit","Пікадор, РК","20 л",premium,44
1277,existing,"Укравіт","Укравіт","Селеніт Макс, КЕ","5 л","Клетодим, 240 г/л","",herbitsydy,"Гербіцид",16.67,13.9,15.29,USD,"selenit-maks-ke-ukravit","Селеніт Макс, КЕ","5 л",premium,45
1278,existing,"Укравіт","Укравіт","Стелавіт, РК","5;20","Топрамезон, 50г/л","",herbitsydy,"Гербіцид",25.3,21.08,23.19,USD,"stelavit-rk-ukravit","Стелавіт, РК","5;20",premium,47
1279,existing,"Укравіт","Укравіт","Стелс, КЕ","20 л","Флурохлорідон, 250 г/л","",herbitsydy,"Гербіцид",23,19.17,21.09,USD,"stels-ke-ukravit","Стелс, КЕ","20 л",premium,46
1280,existing,"Укравіт","Укравіт","Тернат, КС","20 л","Тербутилазин, 500 г/л","",herbitsydy,"Гербіцид",7.48,6.23,6.85,USD,"ternat-ks-ukravit","Тернат, КС","20 л",premium,48
1281,existing,"Укравіт","Укравіт","Тівітус, ВГ","0.05 л","Римсульфурон, 250 г/кг","",herbitsydy,"Гербіцид",109.25,91.04,100.14,USD,"tivitus-vh-ukravit","Тівітус, ВГ","0.05 л",premium,49
1282,existing,"Укравіт","Укравіт","Тізер, КЕ","20 л","Пропізохлор, 720 г/л","",herbitsydy,"Гербіцид",7.48,6.23,6.85,USD,"tizer-ke-ukravit","Тізер, КЕ","20 л",premium,50
1283,existing,"Укравіт","Укравіт","Флагман, РК","20 л","Бентазон, 480 г/л","",herbitsydy,"Гербіцид",11.73,9.77,10.75,USD,"flahman-rk-ukravit","Флагман, РК","20 л",premium,51
1284,existing,"Укравіт","Укравіт","Формула, ВГ","0.05 л","Тифенсульфурон-метил, 750 г/кг","",herbitsydy,"Гербіцид",97.75,81.46,89.61,USD,"formula-vh-ukravit","Формула, ВГ","0.05 л",premium,52
1285,existing,"Укравіт","Укравіт","Хортус, КЕ","20 л","Ацетохлор, 900 г/л","",herbitsydy,"Гербіцид",7.71,6.42,7.06,USD,"khortus-ke-ukravit","Хортус, КЕ","20 л",premium,53
1298,existing,"ALFASMARTAGRO","Alfa Smart Agro","Альвіус, МД","5 л","нікосульфурон, 100г/л","",herbitsydy,"Гербіцид",15.41,12.84,14.12,USD,"alvius-md-alfa-smart-agro","Альвіус, МД","5 л",premium,36
1306,existing,"ALFASMARTAGRO","Alfa Smart Agro","Альфа-Стар, ВГ","0.5 кг","трибенурон-метил, 750 г/кг","0,015-0,025",herbitsydy,"Гербіцид",30.79,25.66,28.23,USD,"alfa-star-vh-alfa-smart-agro","Альфа-Стар, ВГ","0.5 кг",premium,44
1310,existing,"ALFASMARTAGRO","Alfa Smart Agro","Еледжі, КЕ","5 л","хізалофоп-П-тефурил,120г/л","",herbitsydy,"Гербіцид",26.4,22,24.2,USD,"eledzhi-ke-alfa-smart-agro","Еледжі, КЕ","5 л",premium,48
1311,existing,"ALFASMARTAGRO","Alfa Smart Agro","Елсвін, МЕ","5 л","клопіралід, 320г/л + піклорам, 80г/л + флуроксипір, 50г/л","",herbitsydy,"Гербіцид",29.04,24.2,26.62,USD,"elsvin-me-alfa-smart-agro","Елсвін, МЕ","5 л",premium,49
1312,existing,"ALFASMARTAGRO","Alfa Smart Agro","Еталон, КС","20 л","ацетохлор, 900 г/л","2,0-6,0",herbitsydy,"Гербіцид",5.48,4.57,5.03,USD,"etalon-ks-alfa-smart-agro","Еталон, КС","20 л",premium,50
1313,existing,"ALFASMARTAGRO","Alfa Smart Agro","Кайман, КЕ","5 л","хізалофоп-п-етил, 60 г/л + клетодим, 120 г/л","0,6-1,2",herbitsydy,"Гербіцид",12.65,10.54,11.59,USD,"kaiman-ke-alfa-smart-agro","Кайман, КЕ","5 л",premium,51
1314,existing,"ALFASMARTAGRO","Alfa Smart Agro","Кампус, КЕ","20 л","пропізохлор, 720 г/л","",herbitsydy,"Гербіцид",4.96,4.13,4.54,USD,"kampus-ke-alfa-smart-agro","Кампус, КЕ","20 л",premium,52
1315,existing,"ALFASMARTAGRO","Alfa Smart Agro","Конкур, КС","5 л","метрибузин, 600 г/л","0,3-1,1",herbitsydy,"Гербіцид",26.4,22,24.2,USD,"konkur-ks-alfa-smart-agro","Конкур, КС","5 л",premium,56
