Код,Дія,Назва (прайс),Виробник (прайс),Фасовка прайс,Норм. фасовка,Категорія прайс,Ціна з ПДВ,Без ПДВ,Готівка ×1.10,Валюта,Назва (наша),Фасовка (наша),Tier,Категорія наша,Slug,№ рядка прайсу
1055,existing,"Нопасаран Флекс","Басф","2*10л","10 л","Гербiциди",30.84,25.7,28.27,USD,"Нопасаран Флекс","10 л",original,"Гербіцид","nopasaran-fleks-basf",102
1056,existing,"Пульсар Флекс","Басф","2*10л","10 л","Гербiциди",20.92,17.43,19.17,USD,"Пульсар Флекс","10 л",original,"Гербіцид","pulsar-flex-basf",95
1057,existing,"Стеллар Плюс, РК","Басф","2*10л","10 л","Гербiциди",39.77,33.14,36.45,USD,"Стеллар Плюс, РК","10 л",original,"Гербіцид","stellar-plyus-rk-basf",97
1058,existing,"Стомп 330, к.е","Басф","2*10л","10 л","Гербiциди",16.37,13.64,15,USD,"Стомп 330, к.е","10 л",original,"Гербіцид","stomp-330-k-e-basf",98
1059,existing,"Стомп Аква","Басф","2*10л","10 л","Гербiциди",18.78,15.65,17.22,USD,"Стомп Аква","10 л",original,"Гербіцид","stomp-akva-basf",99
1060,existing,"Фронтьер оптима","Басф","4*5л","5 л","Гербiциди",40.14,33.45,36.8,USD,"Фронтьер оптима","5 л",original,"Гербіцид","fronter-optyma-basf",100
1061,existing,"Хайкот Супер Extender","Басф","1*6,4л","6.4 л","Iнокулянт",23.86,19.88,21.87,USD,"Хайкот Супер Extender","6.4 л",original,"Гербіцид","khaikot-super-extender-basf",80
1062,existing,"Хайкот Супер, р","Басф","1*6,4л","6.4 л","Iнокулянт",54.98,45.82,50.4,USD,"Хайкот Супер, р","6.4 л",original,"Гербіцид","khaikot-super-r-basf",81
1063,existing,"ХіСтік, в.п.","Басф","1*6,4л","6.4 л","Iнокулянт",35.27,29.39,32.33,USD,"ХіСтік, в.п.","6.4 л",original,"Гербіцид","khistik-v-p-basf",79
1064,existing,"Айдахо","Дефенда","20л","20 л","Гербiциди",6.3,5.25,5.78,USD,"Айдахо","20 л",original,"Гербіцид","aidakho-defenda",628
1065,existing,"Айлар","Дефенда","20л","20 л","Гербiциди",18,15,16.5,USD,"Айлар","20 л",original,"Гербіцид","ailar-defenda",609
1066,existing,"Аксакал","Дефенда","20*0,5кг","0.5 кг","Гербiциди",100,83.33,91.66,USD,"Аксакал","0.5 кг",original,"Гербіцид","aksakal-defenda",604
1067,existing,"Бантен","Дефенда","20л","20 л","Гербiциди",9.95,8.29,9.12,USD,"Бантен","20 л",original,"Гербіцид","banten-defenda",610
1068,existing,"Бетагард","Дефенда","20л","20 л","Гербiциди",10.9,9.08,9.99,USD,"Бетагард","20 л",original,"Гербіцид","betahard-defenda",612
1069,existing,"Блейд","Дефенда","2*10л","10 л","Гербiциди",6.8,5.67,6.24,USD,"Блейд","10 л",original,"Гербіцид","bleid-defenda",613
1070,existing,"Брокс","Дефенда","4*5л","5 л","Гербiциди",9.3,7.75,8.53,USD,"Брокс","5 л",original,"Гербіцид","broks-defenda",617
1071,existing,"Дабл трай","Дефенда","20л","20 л","Гербiциди",8.5,7.08,7.79,USD,"Дабл трай","20 л",original,"Гербіцид","dabl-trai-defenda",619
1072,existing,"Дикамба Форте","Дефенда","20л","20 л","Гербiциди",5.8,4.83,5.31,USD,"Дикамба Форте","20 л",original,"Гербіцид","dykamba-forte-defenda",620
1073,existing,"Ефімер","Дефенда","4*5л","5 л","Гербiциди",6.3,5.25,5.78,USD,"Ефімер","5 л",original,"Гербіцид","efimer-defenda",624
1074,existing,"Імпреза","Дефенда","20л","20 л","Гербiциди",10.8,9,9.9,USD,"Імпреза","20 л",original,"Гербіцид","impreza-defenda",629
1075,existing,"Кентавр","Дефенда","20*0,5кг","0.5 кг","Гербiциди",140,116.67,128.34,USD,"Кентавр","0.5 кг",original,"Гербіцид","kentavr-defenda",634
1076,existing,"Клаттер","Дефенда","4*5л","5 л","Гербiциди",10.8,9,9.9,USD,"Клаттер","5 л",original,"Гербіцид","klatter-defenda",635
1077,existing,"Кушон","Дефенда","2*10л","10 л","Гербiциди",22,18.33,20.16,USD,"Кушон","10 л",original,"Гербіцид","kushon-defenda",636
1078,existing,"Літерон","Дефенда","20л","20 л","Гербiциди",9.8,8.17,8.99,USD,"Літерон","20 л",original,"Гербіцид","literon-defenda",638
1079,existing,"Матар","Дефенда","4*5л","5 л","Гербiциди",18.3,15.25,16.78,USD,"Матар","5 л",original,"Гербіцид","matar-defenda",639
1080,existing,"Муссон","Дефенда","2*10л","10 л","Гербiциди",6.3,5.25,5.78,USD,"Муссон","10 л",original,"Гербіцид","musson-defenda",643
1081,existing,"Напалм","Дефенда","20л","20 л","Гербiциди",4.2,3.5,3.85,USD,"Напалм","20 л",original,"Гербіцид","napalm-defenda",644
1082,existing,"Напалм Супер","Дефенда","20л","20 л","Гербiциди",6,5,5.5,USD,"Напалм Супер","20 л",original,"Гербіцид","napalm-super-defenda",646
1083,existing,"Напалм Форте","Дефенда","20л","20 л","Гербiциди",5.2,4.33,4.76,USD,"Напалм Форте","20 л",original,"Гербіцид","napalm-forte-defenda",645
1084,existing,"Перун","Дефенда","20л","20 л","Гербiциди",5.8,4.83,5.31,USD,"Перун","20 л",original,"Гербіцид","perun-defenda",652
1085,existing,"Піраміда","Дефенда","4*5л","5 л","Гербiциди",16,13.33,14.66,USD,"Піраміда","5 л",original,"Гербіцид","piramida-defenda",653
1086,existing,"Примус","Дефенда","4*5л","5 л","Гербiциди",5.9,4.92,5.41,USD,"Примус","5 л",original,"Гербіцид","prymus-defenda",655
1087,existing,"Рим","Дефенда","20*0,5кг","0.5 кг","Гербiциди",75,62.5,68.75,USD,"Рим","0.5 кг",original,"Гербіцид","rym-defenda",657
1088,existing,"Сахара","Дефенда","20л","20 л","Гербiциди",7.3,6.08,6.69,USD,"Сахара","20 л",original,"Гербіцид","sakhara-defenda",658
1089,existing,"Сора-Нет","Дефенда","4*5л","5 л","Гербiциди",7.3,6.08,6.69,USD,"Сора-Нет","5 л",original,"Гербіцид","sora-net-defenda",663
1090,existing,"Старлент","Дефенда","20л","20 л","Гербiциди",6.9,5.75,6.33,USD,"Старлент","20 л",original,"Гербіцид","starlent-defenda",667
1091,existing,"Сумаро","Дефенда","4*5л","5 л","Гербiциди",26,21.67,23.84,USD,"Сумаро","5 л",original,"Гербіцид","sumaro-defenda",668
1092,existing,"Форит","Дефенда","4*5л","5 л","Гербiциди",14.2,11.83,13.01,USD,"Форит","5 л",original,"Гербіцид","foryt-defenda",625
1093,existing,"Харума","Дефенда","2*10л","10 л","Гербiциди",8.2,6.83,7.51,USD,"Харума","10 л",original,"Гербіцид","kharuma-defenda",627
1094,existing,"Шериф","Дефенда","50*0,2кг","0.2 кг","Гербiциди",27,22.5,24.75,USD,"Шериф","0.2 кг",original,"Гербіцид","sheryf-defenda",660
1095,existing,"Шериф Максі","Дефенда","50*0,2кг","0.2 кг","Гербiциди",90,75,82.5,USD,"Шериф Максі","0.2 кг",original,"Гербіцид","sheryf-maksi-defenda",661
1096,existing,"Айказ","Кортева","4*5л","5 л","Адьювант",16.13,13.44,14.78,USD,"Айказ","5 л",original,"Гербіцид","aikaz-korteva",189
1097,existing,"Белкар","Кортева","4*3л","3 л","Гербiциди",139.42,116.18,127.8,USD,"Белкар","3 л",original,"Гербіцид","belkar-korteva",153
1098,existing,"Белкар Флекс, КЕ","Кортева","4*5л","5 л","Гербiциди",139.42,116.18,127.8,USD,"Белкар Флекс, КЕ","5 л",original,"Гербіцид","belkar-fleks-ke-korteva",152
1099,existing,"Блу-Н","Кортева","3кг","3 кг","Стабілізатор азоту",79.99,66.66,73.33,USD,"Блу-Н","3 кг",original,"Гербіцид","blu-n-korteva",194
1100,existing,"Геліантекс","Кортева","10*1л","1 л","Гербiциди",459.36,382.8,421.08,USD,"Геліантекс","1 л",original,"Гербіцид","helianteks-korteva",155
1101,existing,"Геліантекс + Аканто Плюс","Кортева","1:05","1:05","Гербiциди",454.84,379.03,416.93,USD,"Геліантекс + Аканто Плюс","1:05",original,"Гербіцид","helianteks-akanto-plyus-korteva",156
1102,existing,"Геліантекс Про","Кортева","1,2кг","1.2 кг","Гербiциди",503.71,419.76,461.74,USD,"Геліантекс Про","1.2 кг",original,"Гербіцид","helianteks-pro-korteva",157
1103,existing,"Квелекс 200вг","Кортева","10*0,6кг","0.6 кг","Гербiциди",158.4,132,145.2,USD,"Квелекс 200вг","0.6 кг",original,"Гербіцид","kveleks-200vh-korteva",158
1104,existing,"Кордус Флекс","Кортева","2,4кг","2.4 кг","Гербiциди",84.31,70.26,77.29,USD,"Кордус Флекс","2.4 кг",original,"Гербіцид","kordus-fleks-korteva",159
1105,existing,"Лонтрел 300 в.р.","Кортева","4*5л","5 л","Гербiциди",68.83,57.36,63.1,USD,"Лонтрел 300 в.р.","5 л",original,"Гербіцид","lontrel-300-v-r-korteva",160
1106,existing,"Лортама","Кортева","4*5л","5 л","Гербiциди",31.54,26.28,28.91,USD,"Лортама","5 л",original,"Гербіцид","lortama-korteva",161
1107,existing,"Н-Лок Макс","Кортева","10л","10 л","Стабілізатор азоту",18.45,15.37,16.91,USD,"Н-Лок Макс","10 л",original,"Гербіцид","n-lok-maks-korteva",195
1108,existing,"Паллас  Екстра 317 ВГ","Кортева","10*1кг","1 кг","Гербiциди",330.55,275.46,303.01,USD,"Паллас  Екстра 317 ВГ","1 кг",original,"Гербіцид","pallas-ekstra-317-vh-korteva",167
1109,existing,"Паллас 45OD","Кортева","4*5л","5 л","Гербiциди",53.74,44.78,49.26,USD,"Паллас 45OD","5 л",original,"Гербіцид","pallas-45od-korteva",166
1110,existing,"Пріма","Кортева","4*5л","5 л","Гербiциди",12.7,10.58,11.64,USD,"Прима","5 л",original,"Гербіцид","pryma-korteva",169
1112,existing,"Пріма Інтенс","Кортева","4*5л","5 л","Гербiциди",16.49,13.74,15.11,USD,"Пріма Інтенс","5 л",original,"Гербіцид","prima-intens-korteva",168
1113,existing,"Слаш","Кортева","4*5л","5 л","Гербiциди",45.29,37.74,41.51,USD,"Слаш","5 л",original,"Гербіцид","slash-korteva",170
1114,existing,"Старане Премiум","Кортева","4*5л","5 л","Гербiциди",31,25.84,28.42,USD,"Старане Премiум","5 л",original,"Гербіцид","starane-premium-korteva",171
1137,existing,"Агрiтокс 50%","Нуфарм","2*10л","10 л","Гербiциди",11.76,9.8,10.78,USD,"Агрiтокс 50%","10 л",original,"Гербіцид","ahritoks-50-nufarm",418
1138,existing,"Агрiтокс Турбо","Нуфарм","2*10л","10 л","Гербiциди",18.84,15.7,17.27,USD,"Агрiтокс Турбо","10 л",original,"Гербіцид","ahritoks-turbo-nufarm",419
1139,existing,"Астрал","Нуфарм","4*5л","5 л","Гербiциди",16.04,13.37,14.71,USD,"Астрал","5 л",original,"Гербіцид","astral-nufarm",420
1140,existing,"Декстер","Нуфарм","4*5л","5 л","Гербiциди",22.51,18.76,20.64,USD,"Декстер","5 л",original,"Гербіцид","dekster-nufarm",423
1141,existing,"Дiкопур ТОП 464","Нуфарм","1*15л","15 л","Гербiциди",10.07,8.39,9.23,USD,"Дiкопур ТОП 464","15 л",original,"Гербіцид","dikopur-top-464-nufarm",425
1142,existing,"Еквінокс, КС","Нуфарм","4*5л","5 л","Гербiциди",101.81,84.84,93.32,USD,"Еквінокс, КС","5 л",original,"Гербіцид","ekvinoks-ks-nufarm",427
1143,existing,"Естет 905","Нуфарм","4*5л","5 л","Гербiциди",14.31,11.93,13.12,USD,"Естет 905","5 л",original,"Гербіцид","estet-905-nufarm",426
1144,existing,"Зеагран 350","Нуфарм","4*5л","5 л","Гербiциди",22.92,19.1,21.01,USD,"Зеагран 350","5 л",original,"Гербіцид","zeahran-350-nufarm",429
1145,existing,"Інтерцепт","Нуфарм","1*20л","20 л","Гербiциди",24.64,20.53,22.58,USD,"Інтерцепт","20 л",original,"Гербіцид","intertsept-nufarm",430
1146,existing,"Квад 150РК","Нуфарм","20л","20 л","Гербiциди",6.39,5.33,5.86,USD,"Квад 150РК","20 л",original,"Гербіцид","kvad-150rk-nufarm",433
1147,existing,"Клозе 480 КЕ","Нуфарм","4*5л","5 л","Гербiциди",31.95,26.63,29.29,USD,"Клозе 480 КЕ","5 л",original,"Гербіцид","kloze-480-ke-nufarm",437
1148,existing,"Клiнiк в.р.","Нуфарм","1*20л","20 л","Гербiциди",5.4,4.5,4.95,USD,"Клiнiк в.р.","20 л",original,"Гербіцид","klinik-v-r-nufarm",435
1149,existing,"Клiнiк Ікстрим","Нуфарм","1*20л","20 л","Гербiциди",9.1,7.58,8.34,USD,"Клiнiк Ікстрим","20 л",original,"Гербіцид","klinik-ikstrym-nufarm",434
1150,existing,"Клiнiк Макс","Нуфарм","1*20л","20 л","Гербiциди",9.29,7.74,8.51,USD,"Клiнiк Макс","20 л",original,"Гербіцид","klinik-maks-nufarm",436
1151,existing,"Ларс 250, ВГ","Нуфарм","4*5л","5 л","Гербiциди",138.67,115.56,127.12,USD,"Ларс 250, ВГ","5 л",original,"Гербіцид","lars-250-vh-nufarm",438
1152,existing,"Ларс дельта","Нуфарм","12*1л","1 л","Гербiциди",83.66,69.72,76.69,USD,"Ларс дельта","1 л",original,"Гербіцид","lars-delta-nufarm",439
1153,existing,"Ларс Комбі","Нуфарм","комбіпак","комбіпак","Гербiциди",231.12,192.6,211.86,USD,"Ларс Комбі","комбіпак",original,"Гербіцид","lars-kombi-nufarm",440
1154,existing,"Марсель","Нуфарм","4*5л","5 л","Гербiциди",115.56,96.3,105.93,USD,"Марсель","5 л",original,"Гербіцид","marsel-nufarm",441
1155,existing,"Монітор Плюс","Нуфарм","0,266+0,8","0,266+0,8","Гербiциди",409.19,340.99,375.09,USD,"Монітор Плюс","0,266+0,8",original,"Гербіцид","monitor-plyus-nufarm",449
1156,existing,"Селфі","Нуфарм","0,8л","0.8 л","Адьювант",29.46,24.55,27.01,USD,"Селфі","0.8 л",original,"Гербіцид","selfi-nufarm",416
1157,existing,"Селфі ОЙЛ","Нуфарм","5л","5 л","Адьювант",7.99,6.66,7.33,USD,"Селфі ОЙЛ","5 л",original,"Гербіцид","selfi-oil-nufarm",417
1158,existing,"Тейлор","Нуфарм","0,5кг","0.5 кг","Гербiциди",63.99,53.33,58.66,USD,"Тейлор","0.5 кг",original,"Гербіцид","teilor-nufarm",459
1159,existing,"Троллер","Нуфарм","4*5л","5 л","Гербiциди",10.02,8.35,9.19,USD,"Троллер","5 л",original,"Гербіцид","troller-nufarm",458
1160,existing,"Тру","Нуфарм","комбіпак","комбіпак","Гербiциди",90.79,75.66,83.23,USD,"Тру","комбіпак",original,"Гербіцид","tru-nufarm",444
1161,existing,"Філдер, КЕ","Нуфарм","20л","20 л","Гербiциди",8.81,7.34,8.07,USD,"Філдер, КЕ","20 л",original,"Гербіцид","filder-ke-nufarm",442
1162,existing,"Флойд, КЕ","Нуфарм","20л","20 л","Гербiциди",17.45,14.54,15.99,USD,"Флойд, КЕ","20 л",original,"Гербіцид","floid-ke-nufarm",443
1163,existing,"Агер Форте, КС","Самміт-Агро","20л","20 л","Гербiциди",12.44,10.37,11.41,USD,"Агер Форте, КС","20 л",original,"Гербіцид","aher-forte-ks-sammit-agro",556
1165,existing,"Амарон, РК","Самміт-Агро","20л","20 л","Гербiциди",7.52,6.26,6.89,USD,"Амарон, РК","20 л",original,"Гербіцид","amaron-rk-sammit-agro",557
1166,existing,"Асамі, КС","Самміт-Агро","4*5л","5 л","Гербiциди",25.53,21.28,23.41,USD,"Асамі, КС","5 л",original,"Гербіцид","asami-ks-sammit-agro",558
1167,existing,"Астрел Макс, СЕ","Самміт-Агро","20л","20 л","Гербiциди",15.42,12.85,14.14,USD,"Астрел Макс, СЕ","20 л",original,"Гербіцид","astrel-maks-se-sammit-agro",559
1168,existing,"Бамбу 480, ке","Самміт-Агро","4*5л","5 л","Гербiциди",30.46,25.38,27.92,USD,"Бамбу 480, ке","5 л",original,"Гербіцид","bambu-480-ke-sammit-agro",560
1169,existing,"Беструк, РК","Самміт-Агро","12*1л","1 л","Біопродукт",61.56,51.3,56.43,USD,"Беструк, РК","1 л",original,"Гербіцид","bestruk-rk-sammit-agro",547
1170,existing,"Біфлай, КС","Самміт-Агро","4*5л","5 л","Біопродукт",24.62,20.52,22.57,USD,"Біфлай, КС","5 л",original,"Гербіцид","biflai-ks-sammit-agro",546
1171,existing,"Вайс ПРО, КЕ","Самміт-Агро","4*5л","5 л","Адьювант",18.79,15.66,17.23,USD,"Вайс ПРО, КЕ","5 л",original,"Гербіцид","vais-pro-ke-sammit-agro",539
1172,existing,"Дікафлор 440, КЕ","Самміт-Агро","4*5л","5 л","Гербiциди",32.4,27,29.7,USD,"Дікафлор 440, КЕ","5 л",original,"Гербіцид","dikaflor-440-ke-sammit-agro",562
1173,existing,"Імамекс 40 SL BP","Самміт-Агро","4*5л","5 л","Гербiциди",22.29,18.58,20.44,USD,"Імамекс 40 SL BP","5 л",original,"Гербіцид","imameks-40-sl-bp-sammit-agro",563
