Код,Дія,Назва (прайс),Виробник (прайс),Фасовка прайс,Норм. фасовка,Категорія прайс,Ціна з ПДВ,Без ПДВ,Готівка ×1.10,Валюта,Назва (наша),Фасовка (наша),Tier,Категорія наша,Slug,№ рядка прайсу
1174,existing,"Іночі, РК","Самміт-Агро","4*5л","5 л","Біопродукт",35.38,29.48,32.43,USD,"Іночі, РК","5 л",original,"Гербіцид","inochi-rk-sammit-agro",550
1175,existing,"Інфанта, КС","Самміт-Агро","12*1л","1 л","Гербiциди",99.79,83.16,91.48,USD,"Інфанта, КС","1 л",original,"Гербіцид","infanta-ks-sammit-agro",561
1176,existing,"Казумiн 2Л","Самміт-Агро","12*1л","1 л","Біопродукт",32.4,27,29.7,USD,"Казумiн 2Л","1 л",original,"Гербіцид","kazumin-2l-sammit-agro",552
1177,existing,"Казумiн 8Л","Самміт-Агро","4*5л","5 л","Біопродукт",106.27,88.56,97.42,USD,"Казумiн 8Л","5 л",original,"Гербіцид","kazumin-8l-sammit-agro",553
1178,existing,"Кайші Макс, МГ","Самміт-Агро","4*5л","5 л","Біопродукт",30.84,25.7,28.27,USD,"Кайші Макс, МГ","5 л",original,"Гербіцид","kaishi-maks-mh-sammit-agro",551
1179,existing,"Кінактив Інішіал, РК","Самміт-Агро","4*5л","5 л","Біопродукт",22.03,18.36,20.2,USD,"Кінактив Інішіал, РК","5 л",original,"Гербіцид","kinaktyv-inishial-rk-sammit-agro",554
1180,existing,"Клевердим Гранд, КЕ","Самміт-Агро","2*10л","10 л","Гербiциди",36.29,30.24,33.26,USD,"Клевердим Гранд, КЕ","10 л",original,"Гербіцид","kleverdym-hrand-ke-sammit-agro",564
1181,existing,"Матріка, КС","Самміт-Агро","20л","20 л","Гербiциди",8.04,6.7,7.37,USD,"Матріка, КС","20 л",original,"Гербіцид","matrika-ks-sammit-agro",565
1182,existing,"Наруто, КС","Самміт-Агро","10л","10 л","Гербiциди",22.16,18.47,20.32,USD,"Наруто, КС","10 л",original,"Гербіцид","naruto-ks-sammit-agro",566
1183,existing,"Нурспрей (Nurspray), Р","Самміт-Агро","4*5л","5 л","Біопродукт",17.5,14.58,16.04,USD,"Нурспрей (Nurspray), Р","5 л",original,"Гербіцид","nursprei-nurspray-r-sammit-agro",555
1184,existing,"Олемiкс 84, КЕ","Самміт-Агро","2*10л","10 л","Адьювант",6.48,5.4,5.94,USD,"Олемiкс 84, КЕ","10 л",original,"Гербіцид","olemiks-84-ke-sammit-agro",540
1185,existing,"Оттер Форте, КС","Самміт-Агро","20л","20 л","Гербiциди",9.46,7.88,8.67,USD,"Оттер Форте, КС","20 л",original,"Гербіцид","otter-forte-ks-sammit-agro",568
1186,existing,"Пледж 50, ЗП","Самміт-Агро","10кг(5*200гр)","10кг(5*200гр)","Гербiциди",168.48,140.4,154.44,USD,"Пледж 50, ЗП","10кг(5*200гр)",original,"Гербіцид","pledzh-50-zp-sammit-agro",569
1187,existing,"Росейт, РК","Самміт-Агро","20л","20 л","Гербiциди",6.35,5.29,5.82,USD,"Росейт, РК","20 л",original,"Гербіцид","roseit-rk-sammit-agro",567
1188,existing,"РоуБэк, КЕ","Самміт-Агро","4*3л","3 л","Адьювант",18.4,15.34,16.87,USD,"РоуБэк, КЕ","3 л",original,"Гербіцид","roubek-ke-sammit-agro",541
1189,existing,"Сакано, РК","Самміт-Агро","20л","20 л","Гербiциди",14.26,11.88,13.07,USD,"Сакано, РК","20 л",original,"Гербіцид","sakano-rk-sammit-agro",570
1190,existing,"Самсон Супер 6 OD, МД","Самміт-Агро","4*5л","5 л","Гербiциди",30.2,25.16,27.68,USD,"Самсон Супер 6 OD, МД","5 л",original,"Гербіцид","samson-super-6-od-md-sammit-agro",571
1191,existing,"Сендай, РК","Самміт-Агро","4*5л","5 л","Адьювант",11.02,9.18,10.1,USD,"Сендай, РК","5 л",original,"Гербіцид","sendai-rk-sammit-agro",542
1192,existing,"Сінтмезо, СЕ","Самміт-Агро","2*10л","10 л","Гербiциди",13.74,11.45,12.6,USD,"Сінтмезо, СЕ","10 л",original,"Гербіцид","sintmezo-se-sammit-agro",572
1193,existing,"Скаба, КЕ","Самміт-Агро","4*5л","5 л","Адьювант",35.77,29.81,32.79,USD,"Скаба, КЕ","5 л",original,"Гербіцид","skaba-ke-sammit-agro",543
1194,existing (fuzzy),"Тарга Макс, КЕ","Самміт-Агро","4*5л","5 л","Гербiциди",26.57,22.14,24.35,USD,"Тарга Супер","5 л",original,"Гербіцид","tarha-super-sammit-agro",574
1195,existing,"Тропіка, КЕ","Самміт-Агро","20л","20 л","Гербiциди",9.07,7.56,8.32,USD,"Тропіка, КЕ","20 л",original,"Гербіцид","tropika-ke-sammit-agro",575
1196,existing,"Хікару, ВГ","Самміт-Агро","12*0,5кг","0.5 кг","Гербiциди",82.94,69.12,76.03,USD,"Хікару, ВГ","0.5 кг",original,"Гербіцид","khikaru-vh-sammit-agro",576
1197,existing,"Акваті 800 EC","Сингента","2*10л","10 л","Гербiциди",17.14,14.28,15.71,USD,"Акваті 800 EC","10 л",original,"Гербіцид","akvati-800-ec-synhenta",330
1198,existing,"Аксiал 050EC","Сингента","4*5л","5 л","Гербiциди",40.68,33.9,37.29,USD,"Аксiал 050EC","5 л",original,"Гербіцид","aksial-050ec-synhenta",331
1199,existing,"Аксiал CROSS 050EC","Сингента","4*5л","5 л","Гербiциди",42.54,35.45,39,USD,"Аксiал CROSS 050EC","5 л",original,"Гербіцид","aksial-cross-050ec-synhenta",332
